"","name","recordnum","date","hour","value","hour_numeric","am_pm","hour_corrected"
"1","reed","174405","2024-10-11","AM12",0,12,"AM","0"
"2","reed","174405","2024-10-11","AM1",0,1,"AM","1"
"3","reed","174405","2024-10-11","AM2",0,2,"AM","2"
"4","reed","174405","2024-10-11","AM3",0,3,"AM","3"
"5","reed","174405","2024-10-11","AM4",0,4,"AM","4"
"6","reed","174405","2024-10-11","AM5",1,5,"AM","5"
"7","reed","174405","2024-10-11","AM6",9,6,"AM","6"
"8","reed","174405","2024-10-11","AM7",6,7,"AM","7"
"9","reed","174405","2024-10-11","AM8",6,8,"AM","8"
"10","reed","174405","2024-10-11","AM9",4,9,"AM","9"
"11","reed","174405","2024-10-11","AM10",5,10,"AM","10"
"12","reed","174405","2024-10-11","AM11",3,11,"AM","11"
"13","reed","174405","2024-10-11","PM12",5,12,"PM","24"
"14","reed","174405","2024-10-11","PM1",3,1,"PM","13"
"15","reed","174405","2024-10-11","PM2",1,2,"PM","14"
"16","reed","174405","2024-10-11","PM3",5,3,"PM","15"
"17","reed","174405","2024-10-11","PM4",8,4,"PM","16"
"18","reed","174405","2024-10-11","PM5",2,5,"PM","17"
"19","reed","174405","2024-10-11","PM6",6,6,"PM","18"
"20","reed","174405","2024-10-11","PM7",3,7,"PM","19"
"21","reed","174405","2024-10-11","PM8",0,8,"PM","20"
"22","reed","174405","2024-10-11","PM9",2,9,"PM","21"
"23","reed","174405","2024-10-11","PM10",0,10,"PM","22"
"24","reed","174405","2024-10-11","PM11",0,11,"PM","23"
"25","reed","174405","2024-10-12","AM12",2,12,"AM","0"
"26","reed","174405","2024-10-12","AM1",0,1,"AM","1"
"27","reed","174405","2024-10-12","AM2",0,2,"AM","2"
"28","reed","174405","2024-10-12","AM3",0,3,"AM","3"
"29","reed","174405","2024-10-12","AM4",0,4,"AM","4"
"30","reed","174405","2024-10-12","AM5",1,5,"AM","5"
"31","reed","174405","2024-10-12","AM6",0,6,"AM","6"
"32","reed","174405","2024-10-12","AM7",2,7,"AM","7"
"33","reed","174405","2024-10-12","AM8",1,8,"AM","8"
"34","reed","174405","2024-10-12","AM9",2,9,"AM","9"
"35","reed","174405","2024-10-12","AM10",4,10,"AM","10"
"36","reed","174405","2024-10-12","AM11",6,11,"AM","11"
"37","reed","174405","2024-10-12","PM12",2,12,"PM","24"
"38","reed","174405","2024-10-12","PM1",3,1,"PM","13"
"39","reed","174405","2024-10-12","PM2",2,2,"PM","14"
"40","reed","174405","2024-10-12","PM3",2,3,"PM","15"
"41","reed","174405","2024-10-12","PM4",4,4,"PM","16"
"42","reed","174405","2024-10-12","PM5",4,5,"PM","17"
